title,date,subpage_url,Therapy class,Product Name,INN,Initial Approval,Cancer,Marketing authorisation holder,CHMP Opinion Date,Decision date,Therapy Area,Orphan,Recommendation
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,D11,Anzupgo,delgocitinib,Initial approval,No,LEO Pharma A/S,25/07/2024,nan,Dermatology,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,A05,Iqirvo,elafibranor,Initial approval,No,Ipsen Pharma,25/07/2024,nan,Alimentary,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,A05,Kayfanda,odevixibat,Initial approval,No,Ipsen Pharma,25/07/2024,nan,Alimentary,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Loqtorzi,toripalimab,Initial approval,Yes,TMC Pharma (EU) Limited,25/07/2024,nan,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,S01,Vevizye,ciclosporin,Initial approval,No,Novaliq GmbH,25/07/2024,nan,Sense organs,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Vyloy,zolbetuximab,Initial approval,Yes,Astellas Pharma Europe B.V.,25/07/2024,nan,Cancer,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,C02,Yuvanci,macitentan / tadalafil,Initial approval,No,Janssen-Cilag International NV,25/07/2024,nan,Cardiovascular,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,J07,Arexvy,"Respiratory syncytial virus, glycoprotein F, recombinant, stabilised in the pre-fusion conformation, adjuvanted with AS01E",Extension,No,GlaxoSmithkline Biologicals S.A.,nan,27/06/2024,Infectives,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Braftovi,encorafenib,Extension,Yes,Pierre Fabre Medicament,26/07/2018,19/03/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,J05,Edurant,rilpivirine,Extension,No,Janssen-Cilag International N.V.,nan,28/10/2022,Infectives,No,Positive
